,퍼스널컬러,브랜드,제품명
0,가을웜,비건수퍼,웨이브 립스틱 M02 투쿠시
1,봄웜,클리오,매드매트립 스윗구아바
2,여름쿨,맥,레트로매트립스틱 올파이어드업
3,봄웜,베네피트,단델리온
4,여름쿨,샤넬,샤넬 루쥬알뤼르 #99 피라트
5,가을웜,마몽드,벨벳레드
6,가을웜,클리오,프로 아이 팔레트 004 스트릿 브릭
7,겨울쿨,롬앤,템테이션 나잇
8,가을웜,에뛰드,룩 앳 마이아이즈 카페 카페라떼 우유많이
9,여름쿨,샤넬,샤넬 루쥬 알뤼르 114호 에피톰
10,여름쿨,슈에무라,루주언리미티드 강남핑크
11,봄웜,슈에무라,블러셔 521
12,여름쿨,페리페라,잉크더에어리벨벳 미모실화
13,가을웜,이니스프리,리얼핏 크리미 립스틱 가을숲 달빛 레드
14,가을웜,삐아,라스트 립스틱 2 고혹적
15,여름쿨,로라메르시에,구아바
16,봄웜,나스,섹스어필 블러셔
17,여름쿨,로레알,파리 샤인 카레스 글로스 틴트 #605
18,가을웜,릴리바이레드,앙큼라이어 코팅 틴트 비밀 많은 자몽인척
19,가을웜,마몽드,크리미 틴트 컬러밤 벨벳레드
20,가을웜,비건수퍼,웨이브 립스틱 M02 투쿠시
21,봄웜,클리오,매드매트립 스윗구아바
22,여름쿨,맥,레트로매트립스틱 올파이어드업
23,봄웜,베네피트,단델리온
24,여름쿨,샤넬,샤넬 루쥬알뤼르 #99 피라트
25,가을웜,마몽드,벨벳레드
26,가을웜,클리오,프로 아이 팔레트 004 스트릿 브릭
27,겨울쿨,롬앤,템테이션 나잇
28,가을웜,에뛰드,룩 앳 마이아이즈 카페 카페라떼 우유많이
29,여름쿨,샤넬,샤넬 루쥬 알뤼르 114호 에피톰
30,여름쿨,슈에무라,루주언리미티드 강남핑크
31,봄웜,슈에무라,블러셔 521
32,여름쿨,페리페라,잉크더에어리벨벳 미모실화
33,가을웜,이니스프리,리얼핏 크리미 립스틱 가을숲 달빛 레드
34,가을웜,삐아,라스트 립스틱 2 고혹적
35,여름쿨,로라메르시에,구아바
36,봄웜,나스,섹스어필 블러셔
37,여름쿨,로레알,파리 샤인 카레스 글로스 틴트 #605
38,가을웜,릴리바이레드,앙큼라이어 코팅 틴트 비밀 많은 자몽인척
39,가을웜,마몽드,크리미 틴트 컬러밤 벨벳레드
40,여름쿨,조르지오 아르마니,립마에스트로 #504
41,봄웜,네이처리퍼블릭,프로터치컬러마스터 섀도우 팔레트
42,봄웜,에뛰드,룩앳마이아이즈 프루티 상큼하다 귤
43,여름쿨,로라메르시에,매트 아이 컬러 - 캐시미어
